Month,bourbon
2004-01,19
2004-02,24
2004-03,20
2004-04,17
2004-05,18
2004-06,17
2004-07,20
2004-08,20
2004-09,20
2004-10,18
2004-11,21
2004-12,24
2005-01,20
2005-02,25
2005-03,20
2005-04,18
2005-05,18
2005-06,18
2005-07,19
2005-08,24
2005-09,24
2005-10,17
2005-11,22
2005-12,27
2006-01,17
2006-02,20
2006-03,18
2006-04,15
2006-05,16
2006-06,16
2006-07,17
2006-08,15
2006-09,18
2006-10,17
2006-11,21
2006-12,27
2007-01,19
2007-02,19
2007-03,17
2007-04,16
2007-05,16
2007-06,17
2007-07,17
2007-08,17
2007-09,17
2007-10,17
2007-11,22
2007-12,29
2008-01,21
2008-02,21
2008-03,19
2008-04,18
2008-05,19
2008-06,17
2008-07,20
2008-08,18
2008-09,18
2008-10,19
2008-11,27
2008-12,30
2009-01,24
2009-02,26
2009-03,23
2009-04,23
2009-05,22
2009-06,22
2009-07,23
2009-08,23
2009-09,22
2009-10,25
2009-11,30
2009-12,34
2010-01,30
2010-02,36
2010-03,25
2010-04,24
2010-05,24
2010-06,24
2010-07,26
2010-08,25
2010-09,25
2010-10,28
2010-11,32
2010-12,38
2011-01,32
2011-02,32
2011-03,32
2011-04,30
2011-05,30
2011-06,31
2011-07,30
2011-08,29
2011-09,29
2011-10,31
2011-11,39
2011-12,45
2012-01,36
2012-02,35
2012-03,32
2012-04,30
2012-05,31
2012-06,34
2012-07,31
2012-08,31
2012-09,32
2012-10,32
2012-11,43
2012-12,51
2013-01,38
2013-02,45
2013-03,39
2013-04,35
2013-05,36
2013-06,39
2013-07,37
2013-08,37
2013-09,36
2013-10,39
2013-11,54
2013-12,60
2014-01,43
2014-02,42
2014-03,43
2014-04,39
2014-05,43
2014-06,43
2014-07,44
2014-08,41
2014-09,40
2014-10,42
2014-11,61
2014-12,66
2015-01,49
2015-02,50
2015-03,45
2015-04,44
2015-05,45
2015-06,44
2015-07,45
2015-08,45
2015-09,43
2015-10,47
2015-11,61
2015-12,72
2016-01,50
2016-02,49
2016-03,47
2016-04,49
2016-05,50
2016-06,47
2016-07,47
2016-08,43
2016-09,45
2016-10,47
2016-11,61
2016-12,75
2017-01,52
2017-02,51
2017-03,49
2017-04,49
2017-05,52
2017-06,54
2017-07,55
2017-08,50
2017-09,52
2017-10,52
2017-11,71
2017-12,87
2018-01,57
2018-02,56
2018-03,57
2018-04,56
2018-05,56
2018-06,64
2018-07,59
2018-08,58
2018-09,61
2018-10,60
2018-11,80
2018-12,99
2019-01,66
2019-02,63
2019-03,66
2019-04,58
2019-05,63
2019-06,68
2019-07,66
2019-08,62
2019-09,63
2019-10,63
2019-11,82
2019-12,100
2020-01,71
2020-02,71
2020-03,55
2020-04,56
2020-05,59
